param n := 20;
param k := 3;
param max_ciudades := 8;

param dist :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 :=
0 0 23 9 65 34 26 43 27 14 54 23 19 37 11 32 10 32 25 65 58
1 23 0 17 75 12 44 59 24 33 64 7 26 20 16 35 32 51 35 79 80
2 9 17 0 74 29 36 43 30 23 51 20 25 35 2 37 17 34 33 74 64
3 65 75 74 0 78 41 99 53 53 115 69 50 70 75 41 66 84 41 17 83
4 34 12 29 78 0 52 70 26 43 74 12 32 12 28 37 44 62 41 85 92
5 26 44 36 41 52 0 58 30 12 74 40 21 49 37 25 25 43 14 38 53
6 43 59 43 99 70 58 0 70 49 19 62 61 78 43 74 36 15 65 92 42
7 27 24 30 53 26 30 70 0 26 80 17 11 19 30 12 35 58 17 59 79
8 14 33 23 53 43 12 49 26 0 64 30 15 42 25 26 14 36 15 51 53
9 54 64 51 115 74 74 19 80 64 0 69 73 84 51 86 50 32 78 109 60
10 23 7 20 69 12 40 62 17 30 69 0 20 15 19 28 33 53 29 73 80
11 19 26 25 50 32 21 61 11 15 73 20 0 29 26 13 26 49 10 54 69
12 37 20 35 70 12 49 78 19 42 84 15 29 0 35 30 47 68 36 78 95
13 11 16 2 75 28 37 43 30 25 51 19 26 35 0 38 19 35 34 75 65
14 32 35 37 41 37 25 74 12 26 86 28 13 30 38 0 38 61 11 48 77
15 10 32 17 66 44 25 36 35 14 50 33 26 47 19 38 0 23 29 62 48
16 32 51 34 84 62 43 15 58 36 32 53 49 68 35 61 23 0 51 77 35
17 25 35 33 41 41 14 65 17 15 78 29 10 36 34 11 29 51 0 44 66
18 65 79 74 17 85 38 92 59 51 109 73 54 78 75 48 62 77 44 0 70
19 58 80 64 83 92 53 42 79 53 60 80 69 95 65 77 48 35 66 70 0
;
