param n := 50;
param k := 5;
param max_ciudades := 15;

param dist :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 :=
0 0 25 62 48 70 56 8 34 49 21 8 85 27 75 80 85 18 27 87 56 53 43 61 57 92 68 11 38 64 60 45 45 14 49 59 18 50 16 63 57 24 69 79 17 51 67 25 30 19 50
1 25 0 39 23 82 71 22 57 45 17 23 87 50 67 93 80 36 38 87 49 72 26 46 61 86 52 15 23 63 48 59 66 27 24 70 13 25 22 45 44 7 68 67 17 51 42 24 5 14 37
2 62 39 0 29 92 88 61 86 44 43 62 81 81 52 105 64 75 61 79 42 93 22 26 67 70 24 54 28 59 31 78 92 56 20 81 44 26 51 17 28 38 61 44 56 53 26 45 35 53 27
3 48 23 29 0 100 91 43 80 57 37 44 99 73 74 113 87 55 59 98 58 93 32 49 77 93 51 37 33 75 52 80 88 49 9 88 35 3 44 43 49 27 79 70 36 65 20 43 19 32 43
4 70 82 92 100 0 17 78 48 48 65 78 35 52 55 13 55 84 45 40 52 26 72 70 26 57 77 76 69 37 65 26 38 58 95 12 69 100 60 79 66 75 39 69 85 39 113 58 84 86 65
5 56 71 88 91 17 0 64 31 46 54 64 48 36 60 24 63 69 32 52 51 11 66 69 27 67 77 63 62 41 64 11 22 45 87 13 57 91 48 77 64 64 45 73 71 38 106 48 74 73 62
6 8 22 61 43 78 64 0 42 54 24 1 92 34 79 88 90 14 34 93 60 62 44 63 64 97 70 7 39 70 63 53 53 21 46 67 20 45 21 64 60 23 75 83 9 57 63 29 26 12 52
7 34 57 86 80 48 31 42 0 56 44 41 75 7 78 54 85 42 27 78 63 24 64 76 48 90 84 44 59 61 73 24 12 31 79 41 45 81 36 81 71 53 66 88 50 51 98 42 61 53 66
8 49 45 44 57 48 46 54 56 0 31 55 42 53 25 61 36 67 30 42 7 54 26 23 23 43 31 49 24 18 18 39 56 36 50 37 36 56 33 31 18 38 23 32 56 9 67 25 45 56 17
9 21 17 43 37 65 54 24 44 31 0 25 71 38 56 76 67 37 22 72 37 56 23 40 45 74 48 17 17 48 40 43 52 13 35 53 5 38 8 42 36 10 53 59 25 36 54 7 20 25 29
10 8 23 62 44 78 64 1 41 55 25 0 92 34 80 88 91 13 34 94 61 61 45 64 64 98 71 8 40 70 64 53 52 21 47 67 21 47 22 65 61 25 76 84 10 58 64 30 28 13 53
