# Example data for BMTSP with 10 cities and 2 salesmen
param n := 10;
param k := 2;
param max_ciudades := 5;

set V := 0..10;
set N := 1..10;
set S := 1..2;

# Coordinates for simple Euclidean example
param coord :=
0  50 50
1  60 40
2  65 45
3  55 65
4  35 40
5  50 30
6  45 45
7  55 25
8  40 60
9  65 55
10 30 50
;

# Compute Euclidean distances
param dist (tr) :
  0   1   2   3   4   5   6   7   8   9  10 :=
0   0   14  11  18  17  20  7   25  11  15  20
1   14  0   7   26  25  14  17  17  25  15  32
2   11  7   0   23  31  16  20  20  25  11  36
3   18  26  23  0   30  36  26  42  15  21  30
4   17  25  31  30  0   12  11  24  22  36  9
5   20  14  16  36  12  0   16  12  33  23  22
6   7   17  20  26  11  16  0   23  16  20  15
7   25  17  20  42  24  12  23  0   37  31  22
8   11  25  25  15  22  33  16  37  0   28  21
9   15  15  11  21  36  23  20  31  28  0   39
10  20  32  36  30  9   22  15  22  21  39  0
;
